UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
3.32 +/- 0.13,0,0,75.42 +/- 2.88,2.05 +/- 0.08,0,0,0,0,2.10 +/- 0.17,0,0,112.86 +/- 8.92,5.36 +/- 0.42,0,0,0,0,10.94 +/- 0.92,0,0,64.40 +/- 5.42,5.61 +/- 0.47,0,0,0,0,2.49 +/- 0.55,0,0,68.71 +/- 15.13,2.46 +/- 0.54,0,0,0,0,4.00 +/- 0.70,0,0,126.30 +/- 21.95,4.31 +/- 0.75,0,0,0,0,3.93 +/- 0.68,0,0,117.38 +/- 20.33,2.63 +/- 0.46,0,0,0,0,3.34 +/- 0.60,0,0,57.92 +/- 10.38,3.72 +/- 0.67,0,0,0,0
2.10 +/- 0.13,0,0,0.12 +/- 0.01,7.73 +/- 0.46,0,0,0,0,2.09 +/- 0.19,0,0,0.12 +/- 0.01,11.10 +/- 1.01,0,0,0,0,2.28 +/- 0.01,0,0,0.05 +/- 0.00,4.25 +/- 0.02,0,0,0,0,2.05 +/- 0.07,0,0,0.10 +/- 0.00,6.24 +/- 0.22,0,0,0,0,2.05 +/- 0.15,0,0,0.24 +/- 0.02,6.41 +/- 0.48,0,0,0,0,2.32 +/- 0.09,0,0,0.09 +/- 0.00,5.06 +/- 0.21,0,0,0,0,3.11 +/- 0.40,0,0,0.13 +/- 0.02,7.09 +/- 0.91,0,0,0,0
0.73 +/- 0.03,0,0,0.99 +/- 0.02,0.93 +/- 0.03,0,0,0,0,0.68 +/- 0.04,0,0,0.72 +/- 0.00,1.16 +/- 0.04,0,0,0,0,0.99 +/- 0.00,0,0,1.00 +/- 0.00,0.97 +/- 0.03,0,0,0,0,0.84 +/- 0.01,0,0,0.94 +/- 0.03,1.13 +/- 0.02,0,0,0,0,0.93 +/- 0.01,0,0,0.99 +/- 0.00,0.97 +/- 0.02,0,0,0,0,0.89 +/- 0.01,0,0,0.89 +/- 0.00,1.08 +/- 0.00,0,0,0,0,0.93 +/- 0.00,0,0,0.98 +/- 0.00,0.98 +/- 0.00,0,0,0,0
362.22 +/- 3.15,0,0,0.48 +/- 0.00,4.95 +/- 0.04,0,0,0,0,194.02 +/- 1.04,0,0,0.47 +/- 0.00,5.55 +/- 0.03,0,0,0,0,977.49 +/- 0.39,0,0,0.47 +/- 0.00,1.97 +/- 0.00,0,0,0,0,210.34 +/- 0.24,0,0,0.47 +/- 0.00,2.99 +/- 0.00,0,0,0,0,129.66 +/- 0.13,0,0,0.47 +/- 0.00,3.95 +/- 0.00,0,0,0,0,289.81 +/- 0.12,0,0,0.47 +/- 0.00,1.99 +/- 0.00,0,0,0,0,242.11 +/- 0.18,0,0,0.47 +/- 0.00,4.31 +/- 0.00,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_3000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
10.99 +/- 2.83,0,0,101.28 +/- 26.09,60.41 +/- 15.56,0,0,0,0,6.42 +/- 1.67,0,0,85.46 +/- 22.18,9.08 +/- 2.36,0,0,0,0,21.70 +/- 0.98,0,0,73.30 +/- 3.32,6.13 +/- 0.28,0,0,0,0,5.23 +/- 0.13,0,0,35.56 +/- 0.89,2.67 +/- 0.07,0,0,0,0,5.65 +/- 2.37,0,0,96.90 +/- 40.65,7.75 +/- 3.25,0,0,0,0,7.48 +/- 1.51,1.44 +/- 0.29,0.89 +/- 0.18,147.03 +/- 29.62,4.99 +/- 1.01,0.91 +/- 0.18,0.67 +/- 0.14,0.35 +/- 0.07,0.29 +/- 0.06,6.15 +/- 0.86,0,0,76.07 +/- 10.61,3.83 +/- 0.53,0,0,0,0
3.91 +/- 0.81,0,0,0.19 +/- 0.04,59.97 +/- 12.38,0,0,0,0,3.27 +/- 0.38,0,0,0.11 +/- 0.01,15.97 +/- 1.84,0,0,0,0,3.34 +/- 0.19,0,0,0.05 +/- 0.00,3.72 +/- 0.21,0,0,0,0,2.94 +/- 0.06,0,0,0.09 +/- 0.00,10.22 +/- 0.22,0,0,0,0,2.94 +/- 0.14,0,0,0.24 +/- 0.01,9.96 +/- 0.46,0,0,0,0,3.32 +/- 0.12,3.40 +/- 0.12,3.03 +/- 0.11,0.07 +/- 0.00,8.62 +/- 0.31,11.39 +/- 0.42,7.23 +/- 0.26,8.59 +/- 0.31,9.12 +/- 0.33,3.75 +/- 0.16,0,0,0.12 +/- 0.01,6.79 +/- 0.30,0,0,0,0
0.69 +/- 0.03,0,0,1.03 +/- 0.03,0.99 +/- 0.03,0,0,0,0,0.67 +/- 0.02,0,0,0.73 +/- 0.00,1.17 +/- 0.01,0,0,0,0,0.99 +/- 0.00,0,0,1.00 +/- 0.00,0.98 +/- 0.02,0,0,0,0,0.85 +/- 0.01,0,0,0.94 +/- 0.02,1.12 +/- 0.03,0,0,0,0,0.93 +/- 0.00,0,0,0.99 +/- 0.00,0.94 +/- 0.02,0,0,0,0,0.90 +/- 0.02,0.84 +/- 0.02,0.87 +/- 0.01,0.88 +/- 0.01,1.06 +/- 0.01,1.08 +/- 0.00,1.08 +/- 0.01,1.07 +/- 0.01,1.07 +/- 0.01,0.93 +/- 0.00,0,0,0.98 +/- 0.00,0.99 +/- 0.01,0,0,0,0
536.10 +/- 4.11,0,0,0.47 +/- 0.00,34.35 +/- 0.26,0,0,0,0,290.10 +/- 0.68,0,0,0.46 +/- 0.00,8.09 +/- 0.02,0,0,0,0,1465.10 +/- 0.48,0,0,0.46 +/- 0.00,1.44 +/- 0.00,0,0,0,0,314.46 +/- 0.31,0,0,0.46 +/- 0.00,4.35 +/- 0.00,0,0,0,0,193.46 +/- 0.20,0,0,0.46 +/- 0.00,7.47 +/- 0.01,0,0,0,0,433.81 +/- 0.34,4.13 +/- 0.00,4.13 +/- 0.00,0.46 +/- 0.00,3.57 +/- 0.00,11.89 +/- 0.01,11.82 +/- 0.01,12.24 +/- 0.01,12.18 +/- 0.01,361.77 +/- 0.12,0,0,0.46 +/- 0.00,3.80 +/- 0.00,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_4000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
15.35 +/- 3.27,0,0,82.91 +/- 17.68,6.60 +/- 1.41,0,0,0,0,8.93 +/- 0.87,0,0,128.95 +/- 12.58,9.31 +/- 0.91,0,0,0,0,51.44 +/- 10.25,0,0,72.76 +/- 14.49,13.57 +/- 2.70,0,0,0,0,13.09 +/- 3.21,0,0,59.73 +/- 14.64,6.56 +/- 1.61,0,0,0,0,8.63 +/- 1.75,0,0,92.33 +/- 18.76,5.63 +/- 1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32 +/- 1.03,0,0,86.60 +/- 7.90,3.29 +/- 0.30,0,0,0,0
4.23 +/- 0.24,0,0,0.14 +/- 0.01,27.14 +/- 1.57,0,0,0,0,4.02 +/- 0.53,0,0,0.11 +/- 0.01,21.43 +/- 2.80,0,0,0,0,4.29 +/- 0.10,0,0,0.04 +/- 0.00,3.97 +/- 0.09,0,0,0,0,5.61 +/- 0.68,0,0,0.09 +/- 0.01,10.02 +/- 1.22,0,0,0,0,4.28 +/- 0.33,0,0,0.26 +/- 0.02,18.30 +/- 1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22 +/- 0.42,0,0,0.15 +/- 0.01,12.96 +/- 0.87,0,0,0,0
0.69 +/- 0.02,0,0,1.05 +/- 0.03,1.00 +/- 0.04,0,0,0,0,0.66 +/- 0.01,0,0,0.74 +/- 0.01,1.20 +/- 0.02,0,0,0,0,0.99 +/- 0.00,0,0,1.00 +/- 0.00,0.97 +/- 0.01,0,0,0,0,0.84 +/- 0.01,0,0,0.92 +/- 0.01,1.10 +/- 0.02,0,0,0,0,0.93 +/- 0.01,0,0,0.99 +/- 0.00,0.94 +/- 0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93 +/- 0.00,0,0,0.98 +/- 0.00,0.98 +/- 0.00,0,0,0,0
709.15 +/- 2.79,0,0,0.47 +/- 0.00,14.50 +/- 0.06,0,0,0,0,385.48 +/- 0.32,0,0,0.47 +/- 0.00,11.93 +/- 0.01,0,0,0,0,1953.30 +/- 0.48,0,0,0.47 +/- 0.00,3.44 +/- 0.00,0,0,0,0,418.83 +/- 0.24,0,0,0.47 +/- 0.00,6.76 +/- 0.00,0,0,0,0,257.61 +/- 0.21,0,0,0.47 +/- 0.00,8.65 +/- 0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,482.34 +/- 0.18,0,0,0.47 +/- 0.00,5.55 +/- 0.00,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_5000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33 +/- 1.44,0,0,80.18 +/- 8.65,6.76 +/- 0.73,0,0,0,0,65.99 +/- 4.09,1.20 +/- 0.07,1.14 +/- 0.07,252.79 +/- 15.66,0.25 +/- 0.02,6.43 +/- 0.40,6.52 +/- 0.40,1.78 +/- 0.11,2.20 +/- 0.14,22.71 +/- 4.07,0,0,77.54 +/- 13.89,12.92 +/- 2.31,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57 +/- 0.17,0,0,0.41 +/- 0.02,19.67 +/- 0.72,0,0,0,0,7.81 +/- 0.46,5.01 +/- 0.29,4.73 +/- 0.28,0.08 +/- 0.00,6.09 +/- 0.36,23.30 +/- 1.36,24.70 +/- 1.44,18.14 +/- 1.06,12.53 +/- 0.73,6.20 +/- 0.37,0,0,0.12 +/- 0.01,18.11 +/- 1.07,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93 +/- 0.01,0,0,0.99 +/- 0.00,0.94 +/- 0.01,0,0,0,0,0.90 +/- 0.02,0.79 +/- 0.04,0.86 +/- 0.02,0.89 +/- 0.03,1.07 +/- 0.00,1.07 +/- 0.01,1.08 +/- 0.00,1.06 +/- 0.01,1.08 +/- 0.00,0.93 +/- 0.00,0,0,0.98 +/- 0.00,0.98 +/- 0.00,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.56 +/- 0.13,0,0,0.48 +/- 0.00,12.41 +/- 0.01,0,0,0,0,721.81 +/- 0.34,4.72 +/- 0.00,4.72 +/- 0.00,0.48 +/- 0.00,5.09 +/- 0.00,19.62 +/- 0.01,19.78 +/- 0.01,20.34 +/- 0.01,20.33 +/- 0.01,602.35 +/- 0.18,0,0,0.48 +/- 0.00,10.21 +/- 0.00,0,0,0,0
